ELEID,INDEX,KSATV,THETA_S,THETA_R,INFD,ALPA,BETA,HAREAF,KSATMACV
202,168,0.72186609,0.46114272,0.01,0.1,4.76788,1.2074,0.01,72.1866
203,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
204,78,0.66798103,0.42955318,0.01,0.1,6.32594,1.15845,0.01,66.7981
205,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
206,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
207,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
208,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
209,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
210,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
211,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
212,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
213,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
214,21,0.35792681,0.43037245,0.01,0.1,4.83416,1.13897,0.01,35.7927
215,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
216,138,0.77238633,0.43738289,0.01,0.1,5.47733,1.24079,0.01,77.2386
217,37,0.48705394,0.4256097,0.01,0.1,5.78832,1.16073,0.01,48.7054
218,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
219,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
220,126,0.62954595,0.44787285,0.01,0.1,5.39821,1.15887,0.01,62.9546
221,58,0.55937828,0.40652768,0.01,0.1,5.63327,1.23098,0.01,55.9378
222,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
223,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
224,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
225,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
226,24,0.65890074,0.42195528,0.01,0.1,5.62,1.23625,0.01,65.8901
227,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
228,18,0.58491054,0.4285615,0.01,0.1,5.78739,1.17383,0.01,58.4911
229,40,0.46340398,0.39715412,0.01,0.1,5.74289,1.19017,0.01,46.3404
230,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
231,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
232,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
233,3,0.52323562,0.42256648,0.01,0.1,5.81646,1.18567,0.01,52.3236
234,112,0.66366886,0.4422283,0.01,0.1,6.22549,1.15129,0.01,66.3669
235,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
236,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
237,10,0.47308239,0.43022069,0.01,0.1,5.0503,1.17047,0.01,47.3082
238,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
239,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
240,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
241,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
242,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
243,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
244,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
245,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
246,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
247,9,0.42995675,0.41127919,0.01,0.1,5.02935,1.19145,0.01,42.9957
248,9,0.42995675,0.41127919,0.01,0.1,5.02935,1.19145,0.01,42.9957
249,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
250,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
251,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
252,9,0.42995675,0.41127919,0.01,0.1,5.02935,1.19145,0.01,42.9957
253,9,0.42995675,0.41127919,0.01,0.1,5.02935,1.19145,0.01,42.9957
254,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
255,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
256,58,0.55937828,0.40652768,0.01,0.1,5.63327,1.23098,0.01,55.9378
257,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
258,58,0.55937828,0.40652768,0.01,0.1,5.63327,1.23098,0.01,55.9378
259,10,0.47308239,0.43022069,0.01,0.1,5.0503,1.17047,0.01,47.3082
260,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
261,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
262,18,0.58491054,0.4285615,0.01,0.1,5.78739,1.17383,0.01,58.4911
263,201,0.31743451,0.43351223,0.01,0.1,4.44935,1.12478,0.01,31.7435
264,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
265,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
266,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
267,7,0.42319901,0.42422567,0.01,0.1,5.07567,1.18209,0.01,42.3199
268,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
269,7,0.42319901,0.42422567,0.01,0.1,5.07567,1.18209,0.01,42.3199
270,3,0.52323562,0.42256648,0.01,0.1,5.81646,1.18567,0.01,52.3236
271,37,0.48705394,0.4256097,0.01,0.1,5.78832,1.16073,0.01,48.7054
272,3,0.52323562,0.42256648,0.01,0.1,5.81646,1.18567,0.01,52.3236
273,1,0.43947433,0.40693314,0.01,0.1,5.70954,1.1812,0.01,43.9474
274,58,0.55937828,0.40652768,0.01,0.1,5.63327,1.23098,0.01,55.9378
275,58,0.55937828,0.40652768,0.01,0.1,5.63327,1.23098,0.01,55.9378
276,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
277,51,0.59784619,0.4424439,0.01,0.1,5.00255,1.20186,0.01,59.7846
278,33,0.29853464,0.41442961,0.01,0.1,4.69167,1.13409,0.01,29.8535
279,7,0.42319901,0.42422567,0.01,0.1,5.07567,1.18209,0.01,42.3199
280,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
281,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
282,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
283,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
284,3,0.52323562,0.42256648,0.01,0.1,5.81646,1.18567,0.01,52.3236
285,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
286,10,0.47308239,0.43022069,0.01,0.1,5.0503,1.17047,0.01,47.3082
287,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
288,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
289,1,0.43947433,0.40693314,0.01,0.1,5.70954,1.1812,0.01,43.9474
290,14,0.39393485,0.42726889,0.01,0.1,5.05111,1.15763,0.01,39.3935
291,228,0.76654468,0.46694307,0.01,0.1,5.07529,1.16547,0.01,76.6545
292,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
293,9,0.42995675,0.41127919,0.01,0.1,5.02935,1.19145,0.01,42.9957
294,2,0.35545191,0.40859232,0.01,0.1,4.92606,1.1777,0.01,35.5452
295,8,0.37403223,0.40581592,0.01,0.1,4.76044,1.21026,0.01,37.4032
296,76,0.56117221,0.41366132,0.01,0.1,6.41335,1.1523,0.01,56.1172
297,3,0.52323562,0.42256648,0.01,0.1,5.81646,1.18567,0.01,52.3236
298,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
299,14,0.39393485,0.42726889,0.01,0.1,5.05111,1.15763,0.01,39.3935
300,9,0.42995675,0.41127919,0.01,0.1,5.02935,1.19145,0.01,42.9957
301,2,0.35545191,0.40859232,0.01,0.1,4.92606,1.1777,0.01,35.5452
302,9,0.42995675,0.41127919,0.01,0.1,5.02935,1.19145,0.01,42.9957
303,3,0.52323562,0.42256648,0.01,0.1,5.81646,1.18567,0.01,52.3236
304,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
305,79,0.50142804,0.43985901,0.01,0.1,5.10909,1.18592,0.01,50.1428
306,7,0.42319901,0.42422567,0.01,0.1,5.07567,1.18209,0.01,42.3199
307,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
308,24,0.65890074,0.42195528,0.01,0.1,5.62,1.23625,0.01,65.8901
309,14,0.39393485,0.42726889,0.01,0.1,5.05111,1.15763,0.01,39.3935
310,18,0.58491054,0.4285615,0.01,0.1,5.78739,1.17383,0.01,58.4911
311,16,0.45243161,0.40818686,0.01,0.1,4.86026,1.22652,0.01,45.2432
312,69,0.78979529,0.42277454,0.01,0.1,6.64197,1.20762,0.01,78.9795
313,10,0.47308239,0.43022069,0.01,0.1,5.0503,1.17047,0.01,47.3082
314,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
315,1,0.43947433,0.40693314,0.01,0.1,5.70954,1.1812,0.01,43.9474
316,3,0.52323562,0.42256648,0.01,0.1,5.81646,1.18567,0.01,52.3236
317,14,0.39393485,0.42726889,0.01,0.1,5.05111,1.15763,0.01,39.3935
318,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
319,33,0.29853464,0.41442961,0.01,0.1,4.69167,1.13409,0.01,29.8535
320,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
321,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
