MUKEY	SLT	CLY	om	BLD
365	22.5	17.5	1.293	1.23
366	22.5	17.5	2.155	1.27
367	27.5	17.5	0.431	1.38
368	27.5	22.5	0.431	1.27
369	17.5	32.5	0.431	1.27
370	17.5	27.5	0.431	1.27
371	22.5	32.5	1.293	1.23
372	27.5	17.5	0.431	1.32
373	12.5	27.5	1.293	1.32
374	22.5	17.5	0.431	1.27
375	22.5	22.5	0.431	1.23
376	17.5	17.5	3.017	1.38
377	12.5	22.5	1.293	1.32
378	17.5	32.5	2.155	1.27
379	22.5	37.5	0.431	1.32
380	12.5	27.5	0.431	1.38
381	17.5	22.5	3.017	1.32
382	17.5	27.5	3.017	1.32
383	17.5	27.5	1.293	1.23
384	22.5	27.5	0.431	1.23
385	22.5	37.5	0.431	1.38
386	12.5	27.5	0.431	1.32

